City,PD,Black Men Killed by Police (1/1/2013-12/31/2019),Black Male Population (2015 ACS) (Source: https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_15_5YR_B01001B&prodType=table),"Average Police Homicide Rate for Black Men (per 100,000) (2013-19)"
Reno,Reno Police Department,3,3556,12.1
Oklahoma City,Oklahoma City Police Department,25,42192,8.5
Santa Ana,Santa Ana Police Department,1,1779,8.0
Anaheim,Anaheim Police Department,2,4021,7.1
St. Louis,St. Louis Metropolitan Police Department,34,69439,7.0
Scottsdale,Scottsdale Police Department,1,2178,6.6
Hialeah,Hialeah Police Department,1,2715,5.3
Madison,Madison Police Department,3,8339,5.1
National Murder Rate (FBI UCR 2018: https://ucr.fbi.gov/crime-in-the-u.s/2018/crime-in-the-u.s.-2018/topic-pages/murder ),National Murder Rate (FBI UCR 2018),,,5.0
Las Vegas,Las Vegas Metropolitan Police Department,12,34344,5.0
Spokane,Spokane Police Department,1,2932,4.9
Riverside,Riverside Police Department,3,9145,4.7
Albuquerque,Albuquerque Police Department,3,9944,4.3
Lincoln,Lincoln Police Department,2,6770,4.2
Glendale,Glendale Police Department,2,6845,4.2
Fremont,Fremont Police Department,1,3494,4.1
Orlando,Orlando Police Department,9,32609,3.9
Kansas City Missouri,Kansas City Police Department,17,"62,560",3.9
Fort Wayne,Fort Wayne Police Department,5,18668,3.8
Phoenix,Phoenix Police Department,13,"52,194",3.6
Stockton,Stockton Police Department,4,16219,3.5
Long Beach,Long Beach Police Department,7,28435,3.5
Columbus,Columbus Division of Police,26,106487,3.5
St. Paul,St. Paul Police Department,5,22298,3.2
Omaha,Omaha Police Department,6,"26,951",3.2
San Antonio,San Antonio Police Department,8,"48,934",2.3
Los Angeles,Los Angeles Police Department,26,"165,839",2.2
Irving,Irving Police Department,2,"13,197",2.2
El Paso,El Paso Police Department,2,13912,2.1
Chicago,Chicago Police Department,54,"384,976",2.0
Tucson,Tucson Police Department,2,"14,785",1.9
Seattle,Seattle Police Department,3,"25,403",1.7
Data from 1/1/13 - 12/31/19,,,,
